date,WorldGDP_billion_dollars,PPM_CO2,million_metric_tons_C
1976,19419.00935,332.3,4864
1977,20176.02344,336.49,5026
1978,21018.32559,338.01,5087
1979,21853.06844,338.93,5369
1980,22251.36835,342.89,5316
1981,22699.81478,343.55,5152
1982,22826.75294,343.76,5113
1983,23432.14882,346.09,5094
1984,24507.92075,347.38,5280
1985,25417.30136,348.57,5439
1986,26242.7962,349.94,5607
1987,27151.55156,351.77,5752
1988,28373.90302,354.35,5965
1989,29411.40695,356.16,6097
1990,30232.76788,357.17,6141
1991,30605.83195,359.34,6233
1992,31139.56639,359.94,6165
1993,31618.0147,360.47,6180
1994,32598.65109,361.73,6286
1995,33526.40235,363.63,6420
1996,34619.34807,365.35,6544
1997,35890.54528,366.67,6653
1998,36775.4931,369.39,6644
1999,38035.19182,370.89,6611
2000,39686.36317,371.9,6766
2001,40396.40386,374.18,6929
2002,41239.7449,375.52,6998
2003,42343.49937,378.88,7421
2004,44054.67951,380.78,7812
2005,45614.11439,382.49,8106
2006,47483.38383,385.42,8372
2007,49368.97039,386.89,8572
2008,50096.34671,388.7,8769
2009,48994.02502,390.11,8738
