long,lat,PORT,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS,STPOSTAL,STFIPS
-82.41998,38.43361,I2348,Huntington - Tristate,52911517,52911517,0,0,0,WV,54
-87.25793,30.40785,C2007,"Pensacola, FL",878644,681235,197409,131131,66278,FL,12
-85.656326,30.163246,C2016,"Panama City, FL",2326263,793576,1532687,591187,941500,FL,12
-82.60271,27.66,C2023,"Port Manatee, FL",3396673,110744,3285929,1611683,1674246,FL,12
-82.52235,27.78534,C2021,"Tampa, FL",31650258,21583215,10067043,5310235,4756808,FL,12
-80.181642,25.782862,C2164,"Miami, FL",6993927,130245,6863682,3359394,3504288,FL,12
-80.117801,26.093392,C2163,"Port Everglades, FL",21104883,10044265,11060618,7315739,3744879,FL,12
-80.05267,26.76904,C2162,"Palm Beach, FL",2065402,570148,1495254,413443,1081811,FL,12
-80.60815,28.41409,C2160,"Port Canaveral, FL",3164186,746282,2417904,2289475,128429,FL,12
-81.665125,30.322757,C2017,"Jacksonville, FL",15415144,6215925,9199219,6966270,2232949,FL,12
-87.63799,41.88662,L3749,"Chicago, IL",17090171,15622293,1467878,1351976,115902,IL,17
-93.0619,44.95157,I2320,"St. Paul, MN",5023471,5023471,0,0,0,MN,27
-92.096408,46.778362,L3924,"Duluth-Superior, MN and WI",34672105,26897959,7774146,423347,7350799,MN,27
-91.66261,47.00428,L3926,"Two Harbors, MN",16210087,15416006,794081,0,794081,MN,27
-91.27573,47.28433,L3928,"Silver Bay, MN",5494871,5437872,56999,0,56999,MN,27
-76.51712,39.20899,C0700,"Baltimore, MD",42102106,5278153,36823953,12830987,23992966,MD,24
-71.39844,41.81178,C0191,"Providence, RI",7043104,3087188,3955916,3380617,575299,RI,44
-77.953954,34.239278,C0766,"Wilmington, NC",6718650,1139705,5578945,4273841,1305104,NC,37
-76.72421,34.71693,C0764,"Morehead City, NC",3248655,1362406,1886249,634410,1251839,NC,37
-73.17886,41.172,C0311,"Bridgeport, CT",1592634,1529252,63382,63382,0,CT,9
-72.90473,41.29883,C1507,"New Haven, CT",7807423,5433989,2373434,1841019,532415,CT,9
-75.56158,39.65668,C0299,"New Castle, DE",10063895,5759950,4303945,4208393,95552,DE,10
-75.50697,39.71589,C0554,"Wilmington, DE",5112762,1252785,3859977,2720424,1139553,DE,10
-117.1784,32.70821,C4100,"San Diego, CA",1368346,184207,1184139,1155552,28587,CA,6
-122.214012,37.50536,C4340,"Redwood City, CA",916776,112029,804747,504589,300158,CA,6
-122.399042,37.806665,C4335,"San Francisco, CA",844554,282618,561936,541521,20415,CA,6
-122.3081,37.82152,C4345,"Oakland, CA",18728247,2332289,16395958,6275286,10120672,CA,6
-122.374233,37.924237,C4350,"Richmond, CA",22555921,9903050,12652871,9805091,2847780,CA,6
-119.208475,34.148244,C4150,"Port Hueneme, CA",1541450,22773,1518677,1425973,92704,CA,6
-118.241,33.77728,C4120,"Los Angeles, CA",61819495,6950011,54869484,32894905,21974579,CA,6
-118.2095,33.73957,C4110,"Long Beach, CA",77385055,11585070,65799985,41215516,24584469,CA,6
-121.3156,37.9527,C4270,"Stockton, CA",3456469,150985,3305484,1666869,1638615,CA,6
-75.22655,39.82689,C5252,"Paulsboro, NJ",17372629,5825136,11547493,10250657,1296836,NJ,34
-75.10432,39.94305,C0551,"Camden-Gloucester, NJ",6170090,2685657,3484433,2720298,764135,NJ,34
-87.89967,42.98824,L3756,"Milwaukee, WI",2267094,1374856,892238,892238,0,WI,55
-88.018118,44.516215,L3778,"Green Bay, WI",1958244,1774824,183420,183420,0,WI,55
-124.2095,43.36351,C4660,"Coos Bay, OR",1958396,99728,1858668,8796,1849872,OR,41
-122.6653,45.47881,C4644,"Portland, OR",25549283,8303855,17245428,3372942,13872486,OR,41
-80.01612,40.44234,I2358,"Pittsburgh, PA",35154800,35154800,0,0,0,PA,42
-75.40424,39.81544,C5251,"Marcus Hook, PA",4273808,2677825,1595983,1473544,122439,PA,42
-75.3222,39.85423,C0297,"Chester, PA",1253194,95435,1157759,821306,336453,PA,42
-75.202191,39.91882,C0552,"Philadelphia, PA",28539476,11998639,16540837,15848753,692084,PA,42
-74.74081,40.13598,C0298,"Penn Manor, PA",3037496,123849,2913647,2213133,700514,PA,42
-122.8628,46.02048,C4626,"Kalama, WA",11523061,1059572,10463489,565840,9897649,WA,53
-122.6806,45.62244,C4636,"Vancouver, WA",5845943,1041405,4804538,674254,4130284,WA,53
-124.176146,46.904156,C4702,"Grays Harbor, WA",1902845,104322,1798523,100395,1698128,WA,53
-122.914,46.14222,C4622,"Longview, WA",12192962,1713902,10479060,866088,9612972,WA,53
-122.9089,47.06827,C4718,"Olympia, WA",1353716,930450,423266,119356,303910,WA,53
-123.4532,48.1305,C4708,"Port Angeles, WA",730607,214655,515952,105447,410505,WA,53
-122.4515,47.28966,C4720,"Tacoma, WA",24918310,5883802,19034508,6602527,12431981,WA,53
-122.359218,47.587711,C4722,"Seattle, WA",23748337,5323174,18425163,8287335,10137828,WA,53
-122.2294,47.98476,C4725,"Everett, WA",1479039,1027905,451134,119310,331824,WA,53
-122.59961,48.495943,C4730,"Anacortes, WA",11743390,7795133,3948257,1870669,2077588,WA,53
-93.286839,30.106406,C2254,"Lake Charles, LA",54382331,23117141,31265190,23421496,7843694,LA,22
-91.211242,29.688462,C2087,"Morgan City, La, Port of",1770729,1770622,107,107,0,LA,22
-90.659051,29.57907,C2224,"Terrebonne, LA, Port of",2547057,2545978,1079,1079,0,LA,22
-90.61794,30.03345,C2253,"South Louisiana, LA, Port of",252069033,132719721,119349312,35133596,84215716,LA,22
-91.19934,30.42292,C2252,"Baton Rouge, LA",59992818,36669020,23323798,15182279,8141519,LA,22
-90.90056,32.3347,I2276,"Vicksburg, MS",2601580,2601580,0,0,0,LA,22
-89.687447,29.480004,C2255,"Plaquemines, LA, Port of",58280348,33638082,24642266,1668182,22974084,LA,22
-90.085256,29.91414,C2251,"New Orleans, LA",79342141,42856439,36485702,17271856,19213846,LA,22
-81.49988,31.15856,C0780,"Brunswick, GA",2752383,60197,2692186,1206076,1486110,GA,13
-81.095382,32.084711,C0776,"Savannah, GA",34132066,2206984,31925082,15440141,16484941,GA,13
-88.04113,30.72527,C2005,"Mobile, AL",54887669,25067682,29819987,13308382,16511605,AL,1
